№ п/п,Страна,Всего случаев,Всего смертей,% смертей по случ.,Случаев /1M pop,Смертей /1M pop,Сделано тестов,% случаев по тестам,Тестов /1М pop,Население
115,Парагвай,877,11,"1,25",123,2,26 169,"3,35",3 673,7 123 858
117,южный Судан,806,8,"0,99",72,"0,7",3 356,"24,02",300,11 180 763
118,Уругвай,789,22,"2,79",227,6,39 469,2,11 366,3 472 594
119,Непал,772,4,"0,52",27,"0,1",152 391,"0,51",5 240,29 083 261
120,андорра,763,51,"6,68",9 877,660,3 750,"20,35",48 542,77 253
123,Грузия,732,12,"1,64",183,3,50 208,"1,46",12 584,3 989 868
124,Иордания,718,9,"1,25",70,"0,9",167 892,"0,43",16 471,10 193 227
126,Эфиопия,701,6,"0,86",6,"0,1",87 264,"0,8",761,114 661 849
128,ЦАР,671,1,"0,15",139,"0,2",11 570,"5,8",2 400,4 821 214
129,Сан-Марино,666,42,"6,31",19 632,"1 238,0",4 079,"16,33",120 239,33 924
130,Мальта,611,6,"0,98",1 384,14,63 087,"0,97",142 914,441 433
131,Мадагаскар,586,2,"0,34",21,"0,1",9 340,"6,27",338,27 615 210
132,Нормандские о-ва,559,45,"8,05",3 218,259,10 255,"5,45",59 036,173 707
133,Ямайка,556,9,"1,62",188,3,10 570,"5,26",3 571,2 959 941
136,Реюньон,459,1,"0,22",513,1,17 200,"2,67",19 224,894 697
137,Тайвань,441,7,"1,59",19,"0,3",71 101,"0,62",2 986,23 812 744
138,Сан-Томе и Принсипи,441,12,"2,72",2 016,55,175,252,800,218 742
139,Палестина,429,3,"0,7",84,"0,6",44 876,"0,96",8 818,5 088 950
140,Togo,391,13,"3,32",47,2,17 501,"2,23",2 119,8 258 310
141,Кабо-Верде,390,4,"1,03",702,7,1 307,"29,84",2 353,555 393
144,Остров Мэн,336,24,"7,14",3 953,282,4 624,"7,27",54 406,84 990
145,Маврикий,334,10,"2,99",263,8,104 639,"0,32",82 291,1 271 571
147,Черногория,324,9,"2,78",516,14,10 167,"3,19",16 188,628 059
